side,entry_time,exit_time,reason,qty,entry_px,exit_px,pnl
long,2024-09-11 04:15:00,2024-09-11 05:15:00,SL,0.0001769911191166,56500.01,56120.969199330095,-0.0770533120736743
long,2024-10-21 08:45:00,2024-10-21 12:30:00,SL,0.0001464097332019,68301.47,68058.48064117409,-0.0455582191930132
long,2024-11-09 17:15:00,2024-11-09 19:00:00,TP2,6.580931172804855e-05,75977.09,76533.81759297677,0.031619540783958
long,2024-11-09 17:15:00,2024-11-09 18:00:00,TP1,6.580931172804855e-05,75977.09,76255.44879648839,0.0133094415099438
long,2024-11-24 11:00:00,2024-11-24 12:15:00,SL,0.000102570930106,97493.51,97175.3242094196,-0.042620294180105
long,2024-12-09 03:45:00,2024-12-09 07:00:00,SL,0.0001009174913728,99090.85,98575.12908740478,-0.0620192381172337
long,2025-01-05 08:15:00,2025-01-05 09:45:00,SL,0.0001021480613676,97897.11,97714.32948492945,-0.0286613399326107
long,2025-01-19 22:45:00,2025-01-19 23:00:00,SL,9.669869682067256e-05,103414.01,102204.39602670408,-0.1269096108263551
long,2025-01-27 00:00:00,2025-01-27 00:45:00,SL,9.70993605133216e-05,102987.29,102458.12321086226,-0.0613560659517461
long,2025-03-11 00:15:00,2025-03-11 04:15:00,TP2,6.467550616991395e-05,77309.01999999999,80172.3702411708,0.180096031876373
long,2025-03-11 00:15:00,2025-03-11 01:30:00,TP1,6.467550616991395e-05,77309.01999999999,78740.69012058541,0.0875476927223451
long,2025-03-16 01:30:00,2025-03-16 02:00:00,SL,0.0001193557420657,84007.39,83826.28314759128,-0.0316320990635197
long,2025-04-09 00:00:00,2025-04-09 01:00:00,SL,0.0001304699697922,76645.98999999999,76334.59,-0.050608034419021
long,2025-04-30 13:30:00,2025-04-30 13:45:00,SL,0.0001064962726304,93900.0,93489.1729707539,-0.0537296715368979
long,2025-05-03 00:45:00,2025-05-03 01:15:00,SL,0.0001033565614149,96700.46,96561.51,-0.0243488405443509
long,2025-05-04 00:00:00,2025-05-04 00:30:00,SL,0.0001041280382255,95960.63,95869.62,-0.0194641465613229
long,2025-05-17 00:00:00,2025-05-17 00:15:00,SL,9.658382993519225e-05,103537.0,103343.01,-0.0287269290205424
long,2025-05-19 04:00:00,2025-05-19 04:15:00,SL,9.645980924879802e-05,103670.12,103285.65,-0.0470673599104531
long,2025-07-13 00:15:00,2025-07-13 12:45:00,TP2,4.259204993832672e-05,117392.8,118571.28,0.045168782071814
long,2025-07-13 00:15:00,2025-07-13 07:15:00,TP1,4.259204993832672e-05,117392.8,117982.035,0.0200841781821378
long,2025-07-15 00:30:00,2025-07-15 01:15:00,SL,8.38054179546521e-05,119401.89,118924.92810727967,-0.0499585300685103
long,2025-07-24 05:00:00,2025-07-24 06:45:00,SL,8.501824619090626e-05,117621.81,117381.74,-0.0304001251978686
long,2025-08-10 00:00:00,2025-08-10 02:45:00,TP2,4.289120705378497e-05,116574.01,117216.48,0.0225425356389479
long,2025-08-10 00:00:00,2025-08-10 02:30:00,TP1,4.289120705378497e-05,116574.01,116895.24,0.0087710534706668
long,2025-09-15 00:00:00,2025-09-15 01:00:00,SL,8.687277638269752e-05,115110.86,114837.48312942796,-0.033737133241534
long,2025-09-17 18:15:00,2025-09-17 18:30:00,SL,8.623533934554621e-05,115961.74,115406.98879983932,-0.057815238419205
long,2025-10-16 09:30:00,2025-10-16 14:00:00,SL,8.990379484817092e-05,111230.01,110360.94,-0.0880936246432048
long,2025-11-30 23:45:00,2025-12-01 00:00:00,SL,0.0001106684251141,90360.01,90022.39019922655,-0.0473451697131355
long,2025-12-16 04:45:00,2025-12-16 10:30:00,TP1,5.8248907366995615e-05,85838.51999999999,86876.38999999998,0.0554245660922389
long,2025-12-16 04:45:00,2025-12-16 15:45:00,TP2,5.8248907366995615e-05,85838.51999999999,87914.26999999999,0.1158497143823076
long,2026-01-12 14:15:00,2026-01-12 14:30:00,TP1,5.537698937681063e-05,90290.21,90769.15363315635,0.0215091952571483
long,2026-01-12 14:15:00,2026-01-12 15:15:00,TP2,5.537698937681063e-05,90290.21,91248.10726631273,0.0480189440073059
long,2026-01-18 00:00:00,2026-01-18 00:45:00,SL,0.0001050520916554,95190.87,95073.71159969132,-0.0223015811399251
long,2026-02-05 01:15:00,2026-02-05 02:15:00,SL,0.0001370479541755,72967.15999999999,71887.94,-0.1578309406587822
long,2026-02-05 02:15:00,2026-02-05 02:45:00,SL,0.0001380454072407,72325.59999999999,71887.94,-0.070370961362468
long,2026-02-24 01:15:00,2026-02-24 03:00:00,SL,0.0001552001919515,64432.91,63888.73,-0.0944146120359933
long,2026-03-08 01:30:00,2026-03-08 02:45:00,SL,0.0001485645249901,67310.81999999999,66915.2,-0.0687457098279289
long,2026-03-22 00:00:00,2026-03-22 11:30:00,SL,7.279041775294233e-05,68690.36,68325.91262251137,-0.0315150127179333
long,2026-03-22 00:00:00,2026-03-22 02:15:00,TP1,7.279041775294233e-05,68690.36,69236.99106623296,0.0347696089159997
long,2026-05-07 01:00:00,2026-05-07 03:15:00,SL,0.0001232262505431,81151.54,80866.22584888898,-0.0451406139717693
long,2026-05-10 20:45:00,2026-05-10 22:00:00,TP1,6.19031371604199e-05,80734.89,81155.4612189782,0.0210239175459044
long,2026-05-10 20:45:00,2026-05-10 22:15:00,TP2,6.19031371604199e-05,80734.89,81576.0424379564,0.0470461967829658
long,2026-06-22 00:00:00,2026-06-22 00:30:00,TP1,7.87247348708379e-05,63512.44,63926.018092103724,0.0275425462364278
long,2026-06-22 00:00:00,2026-06-22 01:15:00,TP2,7.87247348708379e-05,63512.44,64339.606184207456,0.0600858793265815
long,2026-06-23 05:15:00,2026-06-23 06:00:00,SL,0.0001575242232874,63482.3,63239.2783202379,-0.04826266044586
long,2026-07-13 00:00:00,2026-07-13 00:30:00,SL,0.0001555330654742,64295.01,64018.63,-0.0529647355214665
long,2026-07-17 00:00:00,2026-07-17 01:45:00,SL,0.0001566799287049,63790.58,63596.21628912799,-0.0404323694425247
long,2026-07-23 02:00:00,2026-07-23 02:15:00,SL,0.0001521235998163,65736.01999999999,65691.87,-0.0167128988034253
long,2026-07-28 00:00:00,2026-07-28 01:00:00,SL,0.0001570039997192,63682.0,63392.48200488607,-0.0554310841920856
long,2026-08-11 00:00:00,2026-08-11 09:45:00,TP1,7.81310795746294e-05,63995.02,64278.195000000014,0.0171137060743172
long,2026-08-11 00:00:00,2026-08-11 14:45:00,SL,7.81310795746294e-05,63995.02,63806.20999999999,-0.0197445531699194
long,2026-09-01 13:00:00,2026-09-01 14:00:00,TP1,6.425172695791718e-05,77818.92,78299.89663112524,0.02588812738661
long,2026-09-01 13:00:00,2026-09-01 16:15:00,SL,6.425172695791718e-05,77818.92,77498.24224591651,-0.0255937974471019
