side,entry_time,exit_time,reason,qty,entry_px,exit_px,pnl
short,2024-09-09 00:15:00,2024-09-09 09:00:00,SL,0.000181752090149,55020.0,55412.20429066483,-0.0813195915685496
long,2024-09-11 04:15:00,2024-09-11 05:15:00,SL,0.0001768471906614,56500.01,56120.969199330095,-0.076990652635006
short,2024-09-17 12:00:00,2024-09-17 12:30:00,SL,0.0001692909586777,59069.9,59296.46044223573,-0.0483738117817782
short,2024-09-22 00:00:00,2024-09-22 01:45:00,TP1,7.898726787700395e-05,63270.72,63076.75,0.0103312396208666
short,2024-09-22 00:00:00,2024-09-22 02:00:00,TP2,7.898726787700395e-05,63270.72,62882.77,0.0256608508187589
short,2024-09-23 16:00:00,2024-09-25 01:30:00,SL,0.0001574482947083,63505.05,64745.94,-0.2054724642556684
long,2024-10-03 08:45:00,2024-10-03 13:15:00,SL,8.266405646816358e-05,60354.01,59999.94,-0.0342433353331665
long,2024-10-03 08:45:00,2024-10-03 10:30:00,TP1,8.266405646816358e-05,60354.01,60885.075,0.0388889298639712
long,2024-10-03 13:15:00,2024-10-03 13:30:00,SL,0.0001649531770317,60494.01,60126.49999999999,-0.070570310260805
long,2024-10-21 08:45:00,2024-10-21 12:30:00,SL,0.0001464097332019,68301.47,68058.48064117409,-0.0455582191930132
long,2024-11-09 17:15:00,2024-11-09 18:00:00,TP1,6.580931172804855e-05,75977.09,76255.44879648839,0.0133094415099438
long,2024-11-09 17:15:00,2024-11-09 19:00:00,TP2,6.580931172804855e-05,75977.09,76533.81759297677,0.031619540783958
long,2024-11-23 17:00:00,2024-11-23 20:15:00,SL,5.1272669698180354e-05,97517.84,97167.62811783123,-0.0229473200097368
long,2024-11-23 17:00:00,2024-11-23 17:30:00,TP1,5.1272669698180354e-05,97517.84,98043.11782325314,0.0219189301332717
long,2024-11-24 11:00:00,2024-11-24 12:15:00,SL,0.0001025698752769,97493.51,97175.3242094196,-0.0426198558773144
short,2024-11-25 08:30:00,2024-11-25 09:00:00,SL,0.0001018020742616,98186.95,98369.52,-0.0285909328757217
short,2024-12-04 00:30:00,2024-12-04 01:30:00,SL,0.0001045514923941,95646.65,96250.06,-0.0731189597335598
short,2024-12-08 16:15:00,2024-12-08 23:15:00,SL,0.000100103082486,99823.98,100500.06,-0.0777042189572033
long,2024-12-09 03:45:00,2024-12-09 07:00:00,SL,0.0001007652844044,99090.85,98575.12908740478,-0.0619256987309055
long,2025-01-05 08:15:00,2025-01-05 09:45:00,SL,0.0001021480613676,97897.11,97714.32948492945,-0.0286613399326107
long,2025-01-19 22:45:00,2025-01-19 23:00:00,SL,9.669869682067256e-05,103414.01,102204.39602670408,-0.1269096108263551
long,2025-01-27 00:00:00,2025-01-27 00:45:00,SL,9.70993605133216e-05,102987.29,102458.12321086226,-0.0613560659517461
short,2025-02-19 14:30:00,2025-02-19 15:30:00,SL,0.0001041607425244,96005.46,96354.51456309488,-0.04637596136474
long,2025-03-11 00:15:00,2025-03-11 04:15:00,TP2,6.467550616991395e-05,77309.01999999999,80172.3702411708,0.180096031876373
long,2025-03-11 00:15:00,2025-03-11 01:30:00,TP1,6.467550616991395e-05,77309.01999999999,78740.69012058541,0.0875476927223451
long,2025-03-16 01:30:00,2025-03-16 02:00:00,SL,0.0001193557420657,84007.39,83826.28314759128,-0.0316320990635197
