side,entry_time,exit_time,reason,qty,entry_px,exit_px,pnl
long,2022-01-10 16:15:00,2022-01-10 16:30:00,SL,0.0014379671745646614,41725.57,41600.939999999995,-0.23912424204151744
long,2022-01-14 14:15:00,2022-01-14 14:45:00,TP1,0.0007077551750332507,42286.18,42885.28419471691,0.39387882192053414
long,2022-01-14 14:15:00,2022-01-15 17:45:00,TP2,0.0007077551750332507,42286.18,43484.398389433816,0.8176929805814317
long,2022-01-16 13:15:00,2022-01-16 13:45:00,TP1,0.0007109043591064975,42610.14,43040.83367972452,0.2757371890804642
long,2022-01-16 13:15:00,2022-01-16 16:15:00,TP2,0.0007109043591064975,42610.14,43471.537359449045,0.5817732179181371
long,2022-01-24 17:15:00,2022-01-26 10:45:00,TP1,0.0008817327037631382,34646.54,38105.350000000006,3.0176720327661957
long,2022-01-24 17:15:00,2022-02-04 23:45:00,TP2,0.0008817327037631382,34646.54,41564.17000000001,6.0659018658410035
short,2022-02-14 18:15:00,2022-02-14 19:15:00,TP1,0.0007829599466094437,42497.78,41808.469999999994,0.5066979122979383
short,2022-02-14 18:15:00,2022-02-15 01:30:00,SL,0.0007829599466094437,42497.78,42842.46000000001,-0.3032796292743675
long,2022-03-03 10:15:00,2022-03-03 12:15:00,TP1,0.0007717607153088124,43193.55,43750.60000000001,0.39635926676482347
long,2022-03-03 10:15:00,2022-03-03 15:30:00,SL,0.0007717607153088124,43193.55,42914.99999999999,-0.2482015453203799
short,2022-03-06 00:00:00,2022-03-06 00:45:00,SL,0.001689991236587167,39502.61,39583.72000000001,-0.2039027915165188
short,2022-03-06 04:30:00,2022-03-06 09:15:00,TP1,0.0008451010270994853,39425.299999999996,38888.08999999998,0.4209053596058048
short,2022-03-06 04:30:00,2022-03-06 10:00:00,TP2,0.0008451010270994853,39425.299999999996,38350.869999999966,0.8751375359710928
long,2022-03-18 05:00:00,2022-03-18 11:30:00,SL,0.0016529412360965934,40784.48,40215.52999999999,-1.0073850446037944
short,2022-03-22 02:00:00,2022-03-22 02:15:00,SL,0.001602391856596534,41693.869999999995,41948.17198764391,-0.47450509759197296
long,2022-03-30 02:15:00,2022-03-30 05:30:00,TP1,0.0007054994814098633,47147.6,47541.17,0.2442619918333108
long,2022-03-30 02:15:00,2022-03-30 13:30:00,SL,0.0007054994814098633,47147.6,46950.78999999999,-0.17204253560953023
long,2022-03-30 16:15:00,2022-03-30 17:45:00,TP1,0.0007054443047472935,47182.0,47648.532782326925,0.2956640646367163
long,2022-03-30 16:15:00,2022-03-30 19:15:00,SL,0.0007054443047472935,47182.0,46948.70860883653,-0.19777606938780679
short,2022-04-08 08:45:00,2022-04-08 11:30:00,TP1,0.0007623202664227969,43700.32,43294.46385337951,0.2762334224188122
short,2022-04-08 08:45:00,2022-04-08 13:15:00,TP2,0.0007623202664227969,43700.32,42888.597706759014,0.585788111437053
short,2022-04-10 05:15:00,2022-04-10 17:00:00,SL,0.0015731296341871682,42682.11,42896.700000000004,-0.404891169234967
short,2022-05-25 19:15:00,2022-05-26 08:15:00,TP1,0.0011261330063263215,29704.11,29294.26,0.428325606754619
short,2022-05-25 19:15:00,2022-05-26 08:45:00,TP2,0.0011261330063263215,29704.11,28884.399999999998,0.8901132591645122
long,2022-06-22 13:15:00,2022-06-22 16:00:00,SL,0.00329523942785326,20542.55,19950.280000000002,-2.0183882409153195
short,2022-07-13 12:30:00,2022-07-13 17:00:00,SL,0.003470200871397249,19157.850000000002,19930.059999999998,-2.7475452645732026
short,2022-07-24 22:45:00,2022-07-25 01:30:00,TP1,0.0014307392179999784,22657.190000000002,22148.88,0.6952061511248449
short,2022-07-24 22:45:00,2022-07-25 19:00:00,TP2,0.0014307392179999784,22657.190000000002,21640.56,1.4228431470982403
long,2022-08-26 12:15:00,2022-08-26 12:30:00,TP1,0.00155214258641445,21294.399999999998,21512.65132617481,0.3055358542162664
long,2022-08-26 12:15:00,2022-08-26 13:00:00,TP2,0.00155214258641445,21294.399999999998,21730.912652349623,0.6441391671898253
short,2022-09-05 01:15:00,2022-09-05 01:45:00,TP1,0.001674398942355133,19909.74,19816.07,0.123582521806308
short,2022-09-05 01:15:00,2022-09-05 05:15:00,TP2,0.001674398942355133,19909.74,19722.39,0.28051864357259726
short,2022-09-06 01:15:00,2022-09-06 01:45:00,TP1,0.001670003935574842,20034.730000000003,19810.6562373901,0.34093308950213114
short,2022-09-06 01:15:00,2022-09-06 17:00:00,TP2,0.001670003935574842,20034.730000000003,19586.572474780198,0.7153409653418143
short,2022-09-17 03:30:00,2022-09-17 16:00:00,SL,0.0033954682298036037,19894.140000000003,20071.149999999998,-0.6688822676024619
short,2022-10-03 13:15:00,2022-10-03 14:00:00,SL,0.00348870425655288,19247.43,19315.059999999998,-0.30320763037380105
short,2022-10-03 14:00:00,2022-10-03 14:15:00,SL,0.003479471106039488,19246.22,19315.059999999998,-0.3066132207256954
short,2022-10-10 01:00:00,2022-10-10 01:15:00,SL,0.0034253545215644945,19496.58,19500.059999999998,-0.07870889230994191
long,2022-10-23 01:45:00,2022-10-23 11:00:00,SL,0.003479569989131886,19179.23,19133.940000000002,-0.22424640306802754
long,2022-11-14 06:30:00,2022-11-14 06:45:00,TP1,0.00203155904680382,16391.579999999998,16716.809999999998,0.6270931241772009
long,2022-11-14 06:30:00,2022-11-14 13:00:00,TP2,0.00203155904680382,16391.579999999998,17042.049999999996,1.2875070164274798
short,2022-11-18 15:00:00,2022-11-20 21:45:00,TP1,0.002034305161159151,16651.800000000003,16246.670000000002,0.7906952862827892
short,2022-11-18 15:00:00,2022-11-21 19:15:00,TP2,0.002034305161159151,16651.800000000003,15841.530000000002,1.6152857684713025
long,2022-11-25 17:30:00,2022-11-25 20:15:00,TP1,0.0020958018098957017,16507.59,16652.620000000003,0.26920552242191803
long,2022-11-25 17:30:00,2022-11-26 19:00:00,SL,0.0020958018098957017,16507.59,16435.050000000003,-0.18655008555719968
long,2022-12-11 01:30:00,2022-12-11 18:45:00,TP1,0.002019090970224342,17147.039999999997,17201.899368052924,0.07608923801046827
long,2022-12-11 01:30:00,2022-12-11 19:00:00,TP2,0.002019090970224342,17147.039999999997,17256.76873610585,0.18682009046525633
long,2022-12-12 20:45:00,2022-12-13 09:45:00,TP1,0.002026508271153658,17123.199999999997,17407.609999999997,0.5413707313614939
long,2022-12-12 20:45:00,2022-12-13 13:15:00,TP2,0.002026508271153658,17123.199999999997,17692.029999999995,1.1174620241017728
short,2022-12-18 03:30:00,2022-12-18 04:15:00,SL,0.004207330175093346,16731.730000000003,16796.879999999997,-0.3446405271982752
short,2022-12-18 19:00:00,2022-12-18 19:15:00,SL,0.0041956459064115825,16729.04,16738.059999999998,-0.10805277663305259
long,2022-12-24 01:15:00,2022-12-25 14:30:00,SL,0.004170391353344423,16814.8,16765.61,-0.275163276423887
long,2022-12-27 01:30:00,2022-12-27 11:15:00,SL,0.004150868753221706,16854.109999999997,16817.760000000002,-0.22076783570235953
short,2022-12-30 02:00:00,2022-12-30 05:45:00,TP1,0.0021020348172273167,16609.320000000003,16518.87000000001,0.15531074481233612
short,2022-12-30 02:00:00,2022-12-30 14:45:00,TP2,0.0021020348172273167,16609.320000000003,16428.410000000018,0.3455558894134852
long,2023-01-02 01:00:00,2023-01-02 03:45:00,TP1,0.0021164065446531723,16567.53,16635.3,0.10829352817464308
long,2023-01-02 01:00:00,2023-01-02 07:15:00,TP2,0.0021164065446531723,16567.53,16703.079999999998,0.2516718387534343
short,2023-01-03 14:30:00,2023-01-03 14:45:00,TP1,0.0020991226423745543,16755.390000000003,16734.100000000006,0.009541047685860345
short,2023-01-03 14:30:00,2023-01-03 15:00:00,TP2,0.0020991226423745543,16755.390000000003,16712.80000000001,0.054274715624570466
long,2023-01-06 02:00:00,2023-01-06 02:15:00,TP1,0.0020920321555911053,16821.329999999998,16826.239999999998,-0.024924021314799275
long,2023-01-06 02:00:00,2023-01-06 02:30:00,TP2,0.0020920321555911053,16821.329999999998,16831.159999999996,-0.014636369508397449
short,2023-01-06 13:45:00,2023-01-06 19:30:00,SL,0.004194410116329069,16774.18,16872.629999999997,-0.48350393607568565
long,2023-01-08 01:00:00,2023-01-08 15:45:00,TP1,0.002068947749401893,16933.17,16983.579999999998,0.06920966425758582
long,2023-01-08 01:00:00,2023-01-08 23:00:00,TP2,0.002068947749401893,16933.17,17033.999999999996,0.17347385160966325
long,2023-01-10 02:45:00,2023-01-10 14:00:00,TP1,0.0020427528892205454,17185.949999999997,17301.919999999995,0.2016729545201203
long,2023-01-10 02:45:00,2023-01-10 18:30:00,TP2,0.0020427528892205454,17185.949999999997,17417.89999999999,0.43847297537186497
