side,entry_time,exit_time,reason,qty,entry_px,exit_px,pnl
short,2022-01-11 04:00:00,2022-01-11 08:15:00,SL,0.023724589778118147,42150.36,42446.65215931821,-8.032924639264529
short,2022-01-11 17:15:00,2022-01-11 18:15:00,SL,0.02357610225568909,42381.759999999995,42627.72000000001,-6.8008742074010895
short,2022-01-12 11:45:00,2022-01-12 12:30:00,SL,0.02325597897227131,42935.909999999996,43231.06042368108,-7.865960672923052
short,2022-01-28 05:45:00,2022-01-28 06:30:00,SL,0.026816669861922392,37205.59,37450.060000000005,-7.556879240833007
short,2022-03-06 01:00:00,2022-03-06 01:15:00,SL,0.02520628439245748,39552.61,39583.72000000001,-1.7815339273272328
long,2022-03-21 14:45:00,2022-03-22 02:00:00,TP1,0.012146274739005494,41033.0,41880.64,9.792122394245114
long,2022-03-21 14:45:00,2022-03-22 04:15:00,TP2,0.012146274739005494,41033.0,42728.28999999999,20.082764281871786
long,2022-03-30 02:00:00,2022-03-30 02:30:00,TP1,0.010616257042478218,47087.39,47292.25,1.6738671588138143
long,2022-03-30 02:00:00,2022-03-30 05:30:00,TP2,0.010616257042478218,47087.39,47497.12,3.847732262816209
long,2022-03-30 11:15:00,2022-03-30 12:00:00,SL,0.021106914547614396,47393.75,47190.799999999996,-5.281842314625714
long,2022-03-31 14:30:00,2022-03-31 16:00:00,SL,0.021516972562939295,46466.0,46168.162045241756,-7.405174462294271
long,2022-04-04 18:30:00,2022-04-04 19:30:00,TP1,0.011002449996875777,45402.03,45810.27371561281,3.989901662203327
long,2022-04-04 18:30:00,2022-04-04 20:15:00,TP2,0.011002449996875777,45402.03,46218.52743122563,8.479446858726048
short,2022-04-05 12:45:00,2022-04-05 13:00:00,TP1,0.010694433077026213,46767.979999999996,46593.16499999999,1.3703250597618422
short,2022-04-05 12:45:00,2022-04-05 13:15:00,TP2,0.010694433077026213,46767.979999999996,46418.33999999999,3.2409141495843423
short,2022-04-08 08:45:00,2022-04-08 11:00:00,TP1,0.011450433182598382,43700.32,43395.93039003463,2.9867479926127003
short,2022-04-08 08:45:00,2022-04-08 12:45:00,TP2,0.011450433182598382,43700.32,43091.53078006926,6.473998141027501
short,2022-04-10 15:00:00,2022-04-10 17:00:00,SL,0.02346872596948356,42683.24,42850.060000000005,-4.918731655712225
short,2022-04-13 14:15:00,2022-04-13 15:00:00,SL,0.024674843313284872,40576.93,40898.78820790271,-8.947001139402735
short,2022-04-26 12:30:00,2022-04-26 13:45:00,TP1,0.012372077669788765,40427.11,39871.76000000001,6.374101405698947
short,2022-04-26 12:30:00,2022-04-26 14:45:00,TP2,0.012372077669788765,40427.11,39316.40000000001,13.248493938920191
short,2022-04-28 07:45:00,2022-04-28 08:45:00,SL,0.02544869745600228,39385.0,39689.55,-8.756572959935331
short,2022-04-28 15:30:00,2022-04-28 16:30:00,SL,0.02534049886897986,39518.61,39882.44,-10.225664812361394
short,2022-05-02 14:00:00,2022-05-02 14:30:00,SL,0.025848713661243965,38702.07,39075.060000000005,-10.646531089889196
short,2022-05-15 12:45:00,2022-05-15 14:15:00,TP1,0.016485226033041107,30309.99,29919.05884571818,5.948143699705122
short,2022-05-15 12:45:00,2022-05-15 20:00:00,SL,0.016485226033041107,30309.99,30570.637436187877,-4.798647352649246
short,2022-05-25 14:30:00,2022-05-25 16:00:00,TP1,0.01678454268904166,29772.9,29520.085,3.7457813409835032
short,2022-05-25 14:30:00,2022-05-25 18:00:00,SL,0.01678454268904166,29772.9,29941.469999999998,-3.330509557298801
short,2022-05-25 18:30:00,2022-05-25 18:45:00,SL,0.03354272027930847,29797.54,29909.059999999998,-4.742045056862652
short,2022-06-20 09:30:00,2022-06-20 10:15:00,TP1,0.02415315082793468,20680.870000000003,20478.200000000004,4.398058465473719
short,2022-06-20 09:30:00,2022-06-20 10:30:00,SL,0.02415315082793468,20680.870000000003,20816.01,-3.765197003651344
short,2022-06-21 07:00:00,2022-06-21 08:30:00,SL,0.04735241612545927,21098.81,21370.36361136232,-13.864228596274632
short,2022-07-03 20:30:00,2022-07-03 22:30:00,TP1,0.025661770774868163,19439.29,19247.264380528562,4.4313346844868144
short,2022-07-03 20:30:00,2022-07-04 11:15:00,SL,0.025661770774868163,19439.29,19567.33374631429,-3.786318785712352
short,2022-07-04 12:00:00,2022-07-04 14:00:00,TP1,0.025298142026570294,19719.980000000003,19504.024331528453,4.96712995622129
short,2022-07-04 12:00:00,2022-07-04 15:00:00,SL,0.025298142026570294,19719.980000000003,19863.977112314366,-4.14355968324523
short,2022-07-14 01:15:00,2022-07-14 06:30:00,TP1,0.024596728126344627,20284.0,19946.154116988168,7.815138251398626
short,2022-07-14 01:15:00,2022-07-14 17:15:00,SL,0.024596728126344627,20284.0,20509.257255341217,-6.042281797163347
short,2022-07-27 11:45:00,2022-07-27 13:45:00,SL,0.04707580167917939,21200.22,21451.39,-12.827958474588256
long,2022-08-01 13:30:00,2022-08-01 14:00:00,TP1,0.021512559956115503,23166.34,23506.545000000006,6.816653841426699
long,2022-08-01 13:30:00,2022-08-01 17:30:00,SL,0.021512559956115503,23166.34,22939.510000000002,-5.375621406071972
short,2022-08-05 12:30:00,2022-08-08 05:30:00,SL,0.0431889105655901,23081.820000000003,23432.569999999996,-16.152963295741902
long,2022-08-12 02:15:00,2022-08-12 10:45:00,SL,0.04159756596762831,23926.0,23762.064799178344,-7.811159041271391
long,2022-08-15 13:45:00,2022-08-15 23:00:00,SL,0.04116919485102023,24155.98,23869.4,-12.786850973912445
short,2022-08-17 07:00:00,2022-08-17 07:15:00,TP1,0.020388504355840047,24356.95,24163.71916869159,3.4450557084670477
short,2022-08-17 07:00:00,2022-08-17 07:30:00,TP2,0.020388504355840047,24356.95,23970.478337383178,7.386917185090195
short,2022-08-23 13:30:00,2022-08-23 14:00:00,SL,0.046517405995707604,21374.510000000002,21550.059999999998,-9.164500447486853
short,2022-08-23 22:45:00,2022-08-24 01:45:00,TP1,0.023128001027789436,21475.49,21206.31,5.732022959526416
short,2022-08-23 22:45:00,2022-08-24 16:00:00,SL,0.023128001027789436,21475.49,21654.969999999998,-4.649774286072069
short,2022-08-29 14:45:00,2022-08-29 16:00:00,SL,0.049263732255966135,20166.530000000002,20318.545180431654,-8.486058099653008
short,2022-08-30 10:30:00,2022-08-30 14:00:00,TP1,0.02432269078970508,20405.43,20149.149999999998,5.740220940862499
