Structural variants: 6, behavioral combos: 72, total runs: 432
  [50/432] elapsed 99s
  [100/432] elapsed 197s
  [150/432] elapsed 293s
  [200/432] elapsed 387s
  [250/432] elapsed 486s
  [300/432] elapsed 589s
  [350/432] elapsed 699s
  [400/432] elapsed 798s

Saved 420 results (860s total)

=== Top 20 by CAGR (min 80 trades) ===
 zone_pct htf_rule  rr1  rr2  score_threshold sl_method  tp2_enabled  use_htf_filter  num_trades  round_trips  win_rate  total_pnl_pct  profit_factor  cagr_pct  max_dd_pct  positive_years  years_present    years
      0.4       1h  2.0  4.0                3     Swing         True            True         489          346 48.261759       9.712316       1.501162  2.021072   -2.800243               4              5 4.632444
      0.3       1h  2.0  4.0                3     Swing         True            True         441          309 49.433107       8.847369       1.482952  1.846907   -2.225109               4              5 4.632444
      0.4       1h  1.0  2.0                3     Swing         True            True         697          422 62.266858       5.966038       1.331134  1.258783   -1.339026               4              5 4.632444
      0.4       1h  2.0  4.0                3     Swing        False            True         423          423 41.607565       5.904855       1.262885  1.246160   -2.274994               3              5 4.632444
      0.4       1h  2.0  4.0                3       ATR         True            True         691          471 51.230101       5.823670       1.368456  1.229400   -0.971118               4              5 4.632444
      0.2       1h  2.0  4.0                3     Swing         True            True         364          257 49.175824       5.755910       1.351450  1.214312   -3.471037               1              5 4.632444
      0.3       1h  2.0  4.0                3       ATR         True            True         583          397 52.487136       5.737709       1.415187  1.211644   -0.740648               4              5 4.632444
      0.4       1h  2.0  4.0                3       ATR        False            True         507          507 46.548323       5.710895       1.404607  1.206103   -0.872790               3              5 4.632444
      0.3       4h  2.0  4.0                3       ATR         True            True        1176          827 48.469388       5.694436       1.169771  1.194886   -1.347427               4              5 4.662560
      0.4       4h  2.0  4.0                4       ATR         True            True         890          619 50.449438       5.645759       1.233180  1.184889   -1.248515               5              5 4.662560
      0.4       4h  2.0  4.0                3       ATR         True            True        1249          875 48.999199       5.497346       1.157991  1.154385   -1.184725               5              5 4.662560
      0.3       1h  2.0  4.0                3     Swing        False            True         369          369 42.005420       5.407268       1.266099  1.143281   -2.094288               2              5 4.632444
      0.3       1h  2.0  4.0                3       ATR        False            True         421          421 46.318290       5.327017       1.437148  1.126654   -0.685583               3              5 4.632444
      0.4       4h  2.0  4.0                4       ATR        False            True         669          669 44.095665       5.307976       1.236588  1.116074   -0.987280               5              5 4.659822
      0.4       1h  1.0  2.0                3     Swing        False            True         480          480 58.750000       5.220085       1.329247  1.104482   -0.888884               4              5 4.632444
      0.2       1h  2.0  4.0                3       ATR         True            True         469          314 53.518124       5.116364       1.445950  1.082959   -1.053467               4              5 4.632444
      0.4       1h  1.5  3.0                3     Swing         True            True         556          372 53.956835       5.098142       1.246057  1.079177   -1.926680               4              5 4.632444
      0.3       1h  1.5  3.0                3     Swing         True            True         514          342 53.696498       5.022685       1.258366  1.063506   -2.463505               4              5 4.632444
      0.2       1h  2.0  4.0                3       ATR        False            True         337          337 48.961424       4.977214       1.496005  1.054059   -0.833686               4              5 4.632444
      0.2       4h  2.0  4.0                3       ATR         True            True        1130          796 47.610619       4.829490       1.145447  1.016701   -1.778468               4              5 4.662560

=== Robust (PF>=1.1, positive in all-but-1 years present): 64 of 420 ===
 zone_pct htf_rule  rr1  rr2  score_threshold sl_method  tp2_enabled  use_htf_filter  num_trades  round_trips  win_rate  total_pnl_pct  profit_factor  cagr_pct  max_dd_pct  positive_years  years_present    years
      0.4       1h  2.0  4.0                3     Swing         True            True         489          346 48.261759       9.712316       1.501162  2.021072   -2.800243               4              5 4.632444
      0.3       1h  2.0  4.0                3     Swing         True            True         441          309 49.433107       8.847369       1.482952  1.846907   -2.225109               4              5 4.632444
      0.4       1h  1.0  2.0                3     Swing         True            True         697          422 62.266858       5.966038       1.331134  1.258783   -1.339026               4              5 4.632444
      0.4       1h  2.0  4.0                3       ATR         True            True         691          471 51.230101       5.823670       1.368456  1.229400   -0.971118               4              5 4.632444
      0.3       1h  2.0  4.0                3       ATR         True            True         583          397 52.487136       5.737709       1.415187  1.211644   -0.740648               4              5 4.632444
      0.3       4h  2.0  4.0                3       ATR         True            True        1176          827 48.469388       5.694436       1.169771  1.194886   -1.347427               4              5 4.662560
      0.4       4h  2.0  4.0                4       ATR         True            True         890          619 50.449438       5.645759       1.233180  1.184889   -1.248515               5              5 4.662560
      0.4       4h  2.0  4.0                3       ATR         True            True        1249          875 48.999199       5.497346       1.157991  1.154385   -1.184725               5              5 4.662560
      0.4       4h  2.0  4.0                4       ATR        False            True         669          669 44.095665       5.307976       1.236588  1.116074   -0.987280               5              5 4.659822
      0.4       1h  1.0  2.0                3     Swing        False            True         480          480 58.750000       5.220085       1.329247  1.104482   -0.888884               4              5 4.632444
      0.2       1h  2.0  4.0                3       ATR         True            True         469          314 53.518124       5.116364       1.445950  1.082959   -1.053467               4              5 4.632444
      0.4       1h  1.5  3.0                3     Swing         True            True         556          372 53.956835       5.098142       1.246057  1.079177   -1.926680               4              5 4.632444
      0.3       1h  1.5  3.0                3     Swing         True            True         514          342 53.696498       5.022685       1.258366  1.063506   -2.463505               4              5 4.632444
      0.2       1h  2.0  4.0                3       ATR        False            True         337          337 48.961424       4.977214       1.496005  1.054059   -0.833686               4              5 4.632444
      0.2       4h  2.0  4.0                3       ATR         True            True        1130          796 47.610619       4.829490       1.145447  1.016701   -1.778468               4              5 4.662560
